authorId,name
2341446387,Jianing Li
9617653,Boshi Fu
2255922753,Minjie Wei
2341443356,Huilin Huang
6748258,Huizhe Wu
2284057105,Adrian Allen
2284056303,Ryan Magee
2284055861,Ryan Devaney
2284055666,Tara Ardis
2284055609,Caitlín McNally
2284063330,Carl McCormick
23148133,E. Presho
2284056151,Michael Doyle
39072601,Purnika Ranasinghe
2284056569,Philip Johnston
113915851,Raymond Kirke
121025265,R. Harwood
1816129,D. Farrell
2284054667,Kevin Kenny
2284208340,Jordy Smith
2284049675,Stephen V. Gordon
2284055936,Tom Ford
28512968,S. Thompson
1491723898,Lorraine Wright
2284161207,Kerri Jones
2284055839,Paulo Prodohl
6219811,R. Skuce
3169066,A. Borghesi
5292651,S. Asgari
1398418049,V. Sancho-Shimizu
47803729,P. Agyeman
8663848,Evangelos Bellos
40353040,E. Giannoni
38512239,M. Stocker
1397343031,K. Posfay-Barbe
3934784,U. Heininger
1402287517,Sara Bernhard-Stirnemann
1402287543,A. Niederer-Loher
104944472,C. Kahlert
5495170,G. Natalucci
4371249,C. Relly
145035041,T. Riedel
4136388,C. Kuehni
49575651,C. Thorball
48244495,N. Chaturvedi
1390025107,F. Martinón-Torres
6482026,T. Kuijpers
1850377,L. Coin
35861554,V. Wright
40375997,J. Herberg
145616960,M. Levin
2652955,C. Aebi
144421277,C. Berger
2727148,J. Fellay
3678068,L. Schlapbach
2118393455,Zhaohong Liu
10210624,Peiqiu Liao
2138823,X. Bi
11769915,Paul V Viscuse
1435447923,Rebecca S. Slack-Tidwell
2269787569,Miao Zhang
66015511,Prih Rohra
2274850090,Keyi Zhu
2276016125,F. Anthony
2276016643,San Lucas
2176376038,E. Konnick
10068617,P. Pilié
2620811,B. Siddiqui
2263048216,Christopher J. Logothetis
3827286,P. Corn
3787417,S. Subudhi
2249205675,C. Pritchard
2237307857,Rama Soundararajan
2253005045,Ana M Aparicio
2117911625,Huimei Liu
2267019086,Lanfang Li
2293365662,Ruirui Lu
104901080,B. Lina
49366366,I. Kimura
30416555,Y. Konno
1698900814,K. Uriu
32744364,K. Hopfensperger
144325277,D. Sauter
8187851,S. Nakagawa
47628413,Kei Sato
36434179,M. Alkhamis
2144183848,Chong Li
6362089,M. Torremorell
2146527009,Wang Peng
2278378106,Yanling Li
2278323202,Bin Cheng
2278301908,Mengdie Cao
2278779199,Luyao Liu
2278384799,Yilei Yang
2052829644,Shuya Bai
6515944,S. Xiong
2278633946,Wei Chen
6095974,Yuchong Zhao
2143101586,Nosheen Kabir
2152782139,Hai Lin
2069028655,X. Kong
2145380540,Le Liu
8854886,G. Qanmber
2118407584,Yuxuan Wang
2146644240,Lian Zhang
2129490044,Zhuojing Sun
50109655,Zuoren Yang
153020857,Yunmin Yu
2055271063,Na Zhao
2262729,M. Posner
4597920,M. Rothbart
7929809,S. Macklin
49139706,J. Jackson
5382925,P. Atwal
3924563,S. Hines
2461555,Musa Ozboyaci
1878467,D. Kokh
1803322,S. Corni
3194661,R. Wade
3405180,M. Umair
3572318,A. Ikram
49822570,M. Salman
2462196,A. Khurshid
2109936499,M. Alam
3978558,N. Badar
35420175,R. Suleman
2062983914,Faheem Tahir
5913671,S. Sharif
4664464,J. Montgomery
10125130,S. Whitmer
4389811,J. Klena
144856562,J. F. Mangin
2572331,P. Fillard
1826489,Y. Cointepas
4280229,D. Bihan
2470189,V. Frouin
48594910,C. Poupon
20522277,Yue Huang
2159406723,Ying-Qin Zhu
2118580627,Jieying Yang
5805642,Q. Pan
2028062,Jing‐jing Zhao
2109666975,Mengjia Song
121587492,Chaopin Yang
2112894446,Yulong Han
2111284397,Yan Tang
2108521779,Qi‐jing Wang
47752180,Jia He
2110477503,Yong-Qiang Li
47752419,Junyi He
2149050561,Hao Chen
5217179,D. Weng
40557300,T. Xiang
2850271,J. Xia
6395171,J. Nourikyan
4137685,M. Kjos
5478664,Chryslène Mercy
4678748,C. Cluzel
4746110,C. Morlot
1422275277,M. Noirot-Gros
3775365,Sébastien Guiral
90776119,J. Lavergne
144658180,J. Veening
2863993,C. Grangeasse
46242957,S. Ijaz
147008309,Imran Ul Haq
2137547265,Zakia Habib
2308526856,Muti-Ullah
2308525049,Irfan Afzal
2292926568,Nasir Ahmad Khan
2308494488,Abdullah
2327564877,E. Logapriya
2270134593,Surendran Rajendran
2346086539,Mohammad Zakariah
145782691,Joseph Park
145616938,M. Levin
2149632,C. Haggerty
3466971,Dustin N. Hartzel
65749197,R. Judy
6996450,R. Kember
49570190,N. Reza
1694114,M. Ritchie
32289450,A. Owens
4914699,S. Damrauer
2753771,D. Rader
2287758312,Jingcheng Du
2300434106,Ekin Soysal
2300790994,Dong Wang
2285405340,Long He
2266386029,Bin Lin
2296404421,Jingqi Wang
2253111823,Frank J. Manion
2300532265,Yeran Li
2300435260,Elise Wu
2296437577,Lixia Yao
2159256,P. Natarajan
4016030,G. Peloso
5452596,S. Zekavat
6977809,M. Montasser
8337812,A. Ganna
30602143,M. Chaffin
101675015,A. Khera
46352231,Wei Zhou
152832330,Jonathan M. Bloom
2012133,J. Engreitz
79990255,J. Ernst
1395810966,J. O’Connell
51043632,S. Ruotsalainen
51036551,Maris Alver
3238530,A. Manichaikul
2237303470,W. Johnson
50036303,James A. Perry
50812624,T. Poterba
48180554,C. Seed
2536019,I. Surakka
52200875,T. Esko
2407947,S. Ripatti
2960501,V. Salomaa
2254448932,A. Correa
3112378,R. Vasan
2809250,Manolis Kellis
1974786,B. Neale
9311320,E. Lander
1709121,G. Abecasis
2389141,B. Mitchell
2568113,S. Rich
152239137,James G. Wilson
1810368,L. Cupples
37415701,J. Rotter
2552874,C. Willer
5850813,S. Kathiresan
1916245,K. Kaphingst
47863785,Emily B. Peterson
50841862,Jingsong Zhao
6287708,Anna Gaysynsky
7318656,Ashley Elrick
2140044210,S. Hong
1942690,Melinda Krakow
40172597,Manusheela Pokharel
31847347,Chelsea L. Ratcliff
144890788,W. Klein
2238444774,M. Khoury
4991397,W. Chou
93529820,F. Wegner
2236707327,Blanca Cabrera-Gil
5117971,Tanguy Araud
8921308,C. Beckmann
2337683,N. Beerenwinkel
3145914,C. Bertelli
2166683048,Matteo Carrara
153041778,L. Cerutti
2145765023,C. Chen
6951051,S. Cordey
46303041,A. Dumoulin
8616479,L. Plessis
50135316,M. Friedli
52022262,Y. Gerth
1404764169,G. Greub
15399334,A. Härri
2061052366,H. Hirsch
4659277,C. Howald
49136478,M. Huber
2058851077,Alexander Imhof
2151287030,L. Kaiser
22382426,V. Kufner
40658300,Stephen L. Leib
1429638363,K. Leuzinger
2236682198,Etleva Lleshi
144084665,G. Lucchini
13621375,M. Mäusezahl
2120238111,Milo Moraz
2027667,R. Neher
4643190,O. Nolte
47805846,A. Ramette
2001823982,M. Redondo
5727081,L. Risch
13804679,Lionel Rohner
46283102,T. Roloff
33644604,P. Schläpfer
144564534,Katrin Schneider
35366071,F. Singer
27393490,V. Spina
2580290,T. Stadler
48564551,E. Studer
79719556,I. Topolsky
6337218,A. Trkola
50420678,Daniel Walther
8309349,N. Wohlwend
91985031,C. Zehnder
4764451,Aitana Neves
49374505,A. Egli
46909931,S. Schmutz
2300713613,Gabriela Ziltener
2236710450,Nadine Rist
2236705641,Dr Andrea Hafner
2236629161,Maryam Zaheri Dr
48216490,Kevin Steiner
2007197615,Robin Ammenhäuser
36049124,J. Lupton
2238076665,Ullrich Scherf
2198688351,Madison S. Miura
5888802,Sabrina A. Suckiel
143972781,H. Naik
40833436,Emily R. Soper
1398299844,N. Abul-Husn
11403946,C. Federici
7395523,J. Gianetti
6144553,M. Andreassi
32827271,Lu Gan
3521729,Yuelan Yin
2055011588,Qi Niu
2166025546,Xuebing Yan
34948394,Shuxia Yin
91996217,B. Saif
143835895,Peng Yang
2300186380,P. Thompson
7554981,Tyrone D. Cannon
1924772,K. Narr
8372643,T. V. Erp
2449449,V. Poutanen
144213178,M. Huttunen
2088959,J. Lönnqvist
1409947301,C. Standertskjöld-Nordenstam
2232640,J. Kaprio
4866137,M. Khaledy
39254799,R. Dail
4059558,C. Zoumalan
1699926,A. Toga
2380439,S. Persky
143682925,C. McCall
3007929,Christina Lachance
48940273,Johanna Loewenstein
40458739,A. Beall
2307657,J. Blascovich
2281679702,Ruihong Zhao
2281327046,Zhangmin Hu
2281637872,Xiaoli Zhang
2107522585,Shujuan Huang
2281429908,Guodong Yu
2281413522,Zhe Wu
2281855426,Wei Yu
2238901720,Juan Lu
2281302950,Bing Ruan
38877371,Joshua P. Green
92270069,Yang Han
3916391,Rebecca Kilmurray
32379787,M. McLachlan
3411172,T. Anthopoulos
115890395,M. Heeney
2035669,M. Cauldwell
144958998,P. Steer
8961659,D. Adamson
49206062,C. Alexander
34966199,Lowri A. Allen
7025044,C. Bhagra
2062984448,A. Bolger
40114437,S. Bonner
4767807,M. Calanchini
38023134,Aisling Carroll
120608842,R. Casey
12683969,S. Curtis
2175048724,C. Head
89706954,Katee English
2105676929,L. Hudsmith
48864597,R. James
11852024,Eleanor R Joy
48759555,N. Keating
2175046882,L. MacKiliop
5448247,F. Mcauliffe
2242859236,R. Morris
153415613,Aarthi Mohan
114961034,K. von Klemperer
40661395,M. Kaler
153384925,D. Rees
2141080065,A. Shetty
46310724,F. Siddiqui
2141552561,L. Simpson
2175050604,Linden Stocker
2141539022,P. Timmons
5908332,S. Vause
25054761,H. Turner
6837025,Amira Zaïri
4016803,Lionel Ferrières
1399525535,P. Latour-Lambert
4193023,C. Beloin
2730611,F. Tangy
4899491,J. Ghigo
3702809,K. Hani
4210446,Yongying Jiang
145633672,Longqin Hu
46580047,Li Yin
15717904,H. Mou
2111877050,Jiang Shao
120983396,Ye Zhu
78813449,Xiaohua Pang
2110017597,Jianjun Yang
50561388,Jianming Zhang
2154040283,Weihai Shi
3357785,Shimei Yu
2113219896,Hailong Wang
2148529664,Erika Kline
2214600937,Amanda Leigh Garrett
2723326,C. Brownstein
2188369178,Sonja Ziniel
