paperId,volumeId,pages
e6d7add746de8245f4f46643b2dcc90fdfa7d051,93262a76-35b8-4a8f-9293-045b0ea62f2c,
50b1746426183a410fd6b3c9092d0e0c3497350d,00e762bd-9d16-4bf9-9fa7-5ab1285c2e27,
69ec6ba87a0dcbfc80867512d826750ab20fc913,68076133-052d-4c92-ab00-60e2291f7af5,631-648
6c6d8a8c04a46aea94548436f6de76628ca59c1e,f2ea2334-944e-42ec-bf58-f761c5d6cd1e,"
          e2300560
        "
76505ce03455867e6d5456dc03264335e236d115,ffc0abd5-85a5-449d-956c-26a806c18275,
a78cc71f97b26874499d745ea4e55f0bb2756358,9a8dd30b-d1b5-45ad-aba3-07fb033be8cb,
d5b4bf1ed58761ab2f69400e68a707eba8b6a00b,d98a1484-d6c7-4d14-8472-3e5bb404d2b9,
e53b1e55c834fe7b660f44b516792c7de24516bf,4158eac0-efce-410a-9fe4-2af8a08c2a7d,
04fd4ef2497761a7fedd885f14b1732d800da0d9,b372cbdf-2554-4eab-8c7d-ddb1ff59bd3e,
a0a1361d41c191916772e040c262d1c297063d19,b439322f-b6d1-4c70-b7e1-4f0e90c3d516,1605-1619
c5a9ee2ebfd0a0bf6a7ce10d83967328521dbf9b,18924203-1b83-49eb-9dc3-29be60954cb7,13436 - 13444
d9399fb82cd7335f08907d9179af412a8b30b035,9e49af70-ef55-4b2d-9544-f63fabc504f0,
bed29b97a0b95e822af56fc5414a3d2e94f7adff,f37b7d7d-57bb-40a9-8502-b7770d9b9440,"
          46-53
        "
5177eb135251c6e3ea12e491e72655478faacb33,1ac548f0-3e4d-4626-8358-1b9b06886582,1191 - 1210
4c2335a9b24e5ddf5df4278d497ea3d972589c80,3e1d64b8-66a7-41ff-9fec-9e0688de0419,
ecbf359eb77a6f0c769bbd96b69bdd4f380bdc0c,45628563-ab15-4695-b414-8ae7b29dac9a,
16dba2183a81ab03a7e3c179fd1b4170369560dc,133033df-e485-4bca-bbc5-e605af13cd16,
cc1414c49a97e10bce8a3f38ae57418ddb46e5db,14cd023c-7722-4f40-bb04-7be4ea3745b9,150 - 154
ac21c884885e00c275936427de8bd8d7089e4380,e4af3920-941e-492b-b1fa-a77554a45359,409-417
2cfff5fe73eb88ed79c23b180fe6719cfb27974c,ee8c7d10-c575-4c73-b284-625835cc4736,
1d40bac4da8a024a6779adf06b0377d0f0fce1b8,ee8c547f-15e6-4bba-a650-3e99ab9b8e8d,
7b1a137a7fc962a9a2e05c7eee47aebe5cd6752f,75361e0d-65e2-44fe-a0fc-5354da37ba5c,1495 - 1506
0384fbed7d0354f61fa859d0a97cac211b689d0d,f4a74491-a620-4202-8736-b229b1ec9103,
2e28612a7e6d74055ae1e1b1d1c3da2feeb5bbb2,b349fe97-b0ed-4556-b74b-8c6f69535853,
8d10215b91d867c0b934215fbe4732ca8c5016db,9a0ba970-82b5-4fc7-9b13-ae5479870f5e,
f47d291ef8113f163e954dc51333d19393416775,210b470d-30c5-4d4f-aff9-f75028679a22,980 - 992
1897e8ef2fbfc77048e9c12d0593639806682b4f,3f0862da-63ea-4f7d-922f-37cb6d06f170,300 - 313
d88d3b37cb049cee26c42e277e8605f323d835a6,dc3e7456-bb36-49ee-be98-6b9a74910437,
a3c1e8a5cc3086ffe6ce296c9c6732bf8124251e,27ad77ae-9d1b-4f53-8359-9f6259703f3f,1089 - 1103
15f2dfdca2abb5a7b5a2e7b65279f31f6d307e32,6973ef15-8941-41b2-af07-d083d38c8955,43103 - 43108
9d8c2436b49c86868dd17866ec55a6eae32a053f,d0db4567-d2e6-4d23-9c03-a95aeb515af4,"
          151505
        "
68ad18af58ae7525c7ea4fb64bb38da3cf6160b8,6aca3fd3-3b89-46a4-b3ea-18181a485d8c,
c599e868623a5a9aee594d657eae3b3a36d70449,0c48b28e-023d-4c9b-8119-62da8e2b1b8e,"
          631-7
        "
49f867da622ffafd1a43775709057191ee0eaee2,cede64d0-2ab6-44b6-9272-6ff2fa069114,270-278
56a4ce2332a54461939e33921d30a431291d9068,cb2369a4-e54b-4763-93ed-f252d26a7ee9,
80fe815c83b5416274b6f11f75db352be4043d3a,effb26b3-ae32-4bb8-a9f2-3d1c5e265bc9,
f29bc8965673eb1e1c94bf7c3d3bfd3f86b0fbcb,acf92662-b474-4c89-a443-4347e48ae189,1177 - 1197
c457d20c5018eef9e46a481e3bff6854fdf53ccc,79ab65e2-66f7-482c-9444-e04d9e58e112,"
          297-307
        "
441399e6d3c94430824d9d15675dd608821feec4,ba4757db-4db0-428a-a12a-86c2be5832a5,
3c8f6db633f8f8730ddf8be15a03520013abb763,1ce8121f-c540-4b20-912b-66c7269f483c,1651 - 1663
f8ab62d737bbeab0f9403edc0aeee4d4dd441945,ed4fcd0a-b5ce-41d6-8a9f-92d830576662,112 - 123
2414389bd7fd660fc77fd16fd693c777f8128f0a,0875df73-b82b-49c0-9d65-e28ce622f59e,12 - 21
85b0868a19d22e7105f4de26ceb805105b3859a1,cc6f7624-97b9-45a3-ad0a-b3827bd1063c,
e2037bb53a3a4dd1e6f9b19acac535f91b95d9fa,967ea8fa-90f6-43a8-8052-bb8fb5337be2,
af8ec063192710e7056eec1a451d6e845411bcf0,f6e6c6b0-24c4-4f83-a2b8-f71f827b5296,
eeec1b885aee395ece2cbfc62d2c397c6284b553,74b5311c-48b2-458e-a801-4c5ef9d9ebd7,
afe625a748d0b303342e972932f8298331796291,70cfb0ad-d0e5-4a40-b989-fccd26eb840c,
7a15f624ccb30d74e23933a0edea3889d9ac0c68,b32560c0-5142-4422-9b09-05401f8707eb,
9323be4354b616d2482f7b647c557a8de0d9ba1c,d65ec858-74a0-4425-966e-a3641e84d02c,"
          518-526.e3
        "
c01632bd8027b2bec2145db64389decbc10e557b,31cb80e8-dd89-4252-a6df-4775733c9d82,1122 - 1131
229065c6a52512a39ec6faa24d3d9104671c1794,a065ad14-9a6b-4234-920c-fa504a30d0e1,11493 - 11521
a7180131b9a65c2d16591f30e3e0ef41a0dc8d72,e4bc91d6-3724-48af-8091-56144e0d506f,"
          119051
        "
ed2850368f099d58a4e2370eada345ae2834dad5,00fd3cda-4dcf-4bf7-892f-14b693fb77b2,1255
91cef0e5358ab8eddd3fe1da6c3630f7b2f92c30,fa67cecf-6a1e-4d0a-bb0c-f9cdedcf97dc,
fc21603ac57282c83c73336271a42cf471e356c7,61d5af7b-ab21-4fda-be33-f25fad9bc97e,"
          741-751
        "
4b3aed80ce248b8928a5f45ff591b4e765a44698,90283a62-74a7-4799-a1d6-6f47c495360d,
4a2f85dc865eed7a4f68aa563f3eb51cd2271d7a,38aeaeb2-27ea-4d6d-a298-c7b4927cbc0f,"
          359-64
        "
bbe697f49cca72ad566ffff126cdb8a855e45447,0f45f279-dac0-42c7-a948-72a63df0be68,1645 - 1653
396cc2db19aea3d4eeeb2ec1c0ab95b4c51d0b7d,a32c6d5e-9655-4edf-8514-b269445e1fd8,1 - 9
